hour	amount_raised	amount_goal	amount_needed	completed
2015-09-12 03:00:00	270131.0	520689.0	250558.0	27.0
2015-09-12 06:00:00	25200.0	33275.0	8075.0	23.0
2015-09-12 09:00:00	2350.0	2350.0	0.0	3.0
2015-09-12 12:00:00	9075.0	9075.0	0.0	12.0
2015-09-12 15:00:00	12450.0	12450.0	0.0	18.0
2015-09-12 18:00:00	16575.0	16575.0	0.0	23.0
2015-09-12 21:00:00	19625.0	19625.0	0.0	21.0
2015-09-13 00:00:00	8975.0	8975.0	0.0	17.0
2015-09-13 03:00:00	265234.0	511939.0	246705.0	14.0
2015-09-13 06:00:00	16850.0	24550.0	7700.0	13.0
2015-09-13 09:00:00	18400.0	18400.0	0.0	22.0
2015-09-13 12:00:00	16075.0	16075.0	0.0	16.0
2015-09-13 15:00:00	8100.0	8100.0	0.0	11.0
2015-09-13 18:00:00	6375.0	6375.0	0.0	7.0
2015-09-13 21:00:00	9250.0	9250.0	0.0	11.0
2015-09-14 00:00:00	6025.0	6025.0	0.0	11.0
2015-09-14 03:00:00	252559.0	500789.0	248230.0	10.0
2015-09-14 06:00:00	19950.0	27750.0	7800.0	20.0
2015-09-14 09:00:00	6925.0	6925.0	0.0	8.0
2015-09-14 12:00:00	18750.0	18750.0	0.0	15.0
2015-09-14 15:00:00	15550.0	15550.0	0.0	17.0
2015-09-14 18:00:00	5825.0	5825.0	0.0	8.0
2015-09-14 21:00:00	3225.0	3225.0	0.0	5.0
2015-09-15 00:00:00	28875.0	28875.0	0.0	29.0
2015-09-15 03:00:00	266084.0	519289.0	253205.0	19.0
2015-09-15 06:00:00	23650.0	36125.0	12475.0	17.0
2015-09-15 09:00:00	18875.0	18875.0	0.0	19.0
2015-09-15 12:00:00	16625.0	16625.0	0.0	20.0
2015-09-15 15:00:00	16800.0	16800.0	0.0	19.0
2015-09-15 18:00:00	8725.0	8725.0	0.0	14.0
2015-09-15 21:00:00	10850.0	10850.0	0.0	14.0
2015-09-16 00:00:00	16775.0	16775.0	0.0	14.0
2015-09-16 03:00:00	255387.0	515388.0	260001.0	10.0
2015-09-16 06:00:00	10500.0	20225.0	9725.0	6.0
2015-09-16 09:00:00	13850.0	13925.0	75.0	12.0
2015-09-16 12:00:00	14625.0	14625.0	0.0	14.0
2015-09-16 15:00:00	6575.0	6575.0	0.0	12.0
2015-09-16 18:00:00	14525.0	14525.0	0.0	23.0
2015-09-16 21:00:00	9825.0	9825.0	0.0	11.0
2015-09-17 00:00:00	14350.0	14350.0	0.0	18.0
2015-09-17 03:00:00	316506.0	617754.0	301248.0	19.0
2015-09-17 06:00:00	34200.0	40250.0	6050.0	19.0
2015-09-17 09:00:00	15925.0	15925.0	0.0	24.0
2015-09-17 12:00:00	10550.0	10550.0	0.0	8.0
2015-09-17 15:00:00	14675.0	14675.0	0.0	18.0
2015-09-17 18:00:00	7625.0	7625.0	0.0	10.0
2015-09-17 21:00:00	14675.0	14675.0	0.0	23.0
2015-09-18 00:00:00	22925.0	22925.0	0.0	35.0
2015-09-18 03:00:00	256144.0	525749.0	269605.0	15.0
2015-09-18 06:00:00	24975.0	30175.0	5200.0	22.0
2015-09-18 09:00:00	10025.0	10025.0	0.0	13.0
2015-09-18 12:00:00	6175.0	6175.0	0.0	6.0
2015-09-18 15:00:00	10500.0	10500.0	0.0	15.0
2015-09-18 18:00:00	3000.0	3000.0	0.0	3.0
2015-09-18 21:00:00	4175.0	4175.0	0.0	7.0
2015-09-19 00:00:00	12425.0	12425.0	0.0	12.0
2015-09-19 03:00:00	328351.0	655943.0	327592.0	26.0
2015-09-19 06:00:00	20000.0	23425.0	3425.0	16.0
2015-09-19 09:00:00	17275.0	17275.0	0.0	23.0
2015-09-19 12:00:00	2175.0	2175.0	0.0	4.0
2015-09-19 15:00:00	18800.0	18800.0	0.0	25.0
2015-09-19 18:00:00	11125.0	11125.0	0.0	15.0
2015-09-19 21:00:00	11675.0	11675.0	0.0	16.0
2015-09-20 00:00:00	14300.0	14300.0	0.0	17.0
2015-09-20 03:00:00	328126.0	642743.0	314617.0	29.0
2015-09-20 06:00:00	11175.0	13250.0	2075.0	10.0
2015-09-20 09:00:00	22475.0	22475.0	0.0	24.0
2015-09-20 12:00:00	15250.0	15250.0	0.0	18.0
2015-09-20 15:00:00	19025.0	19025.0	0.0	21.0
2015-09-20 18:00:00	11075.0	11075.0	0.0	12.0
2015-09-20 21:00:00	7075.0	7075.0	0.0	11.0
2015-09-21 00:00:00	8025.0	8025.0	0.0	9.0
2015-09-21 03:00:00	317673.0	626243.0	308570.0	25.0
2015-09-21 06:00:00	13150.0	14850.0	1700.0	15.0
2015-09-21 09:00:00	26000.0	26000.0	0.0	18.0
2015-09-21 12:00:00	13875.0	13875.0	0.0	15.0
2015-09-21 15:00:00	5025.0	5025.0	0.0	7.0
2015-09-21 18:00:00	12225.0	12225.0	0.0	13.0
2015-09-21 21:00:00	41375.0	41375.0	0.0	40.0
2015-09-22 00:00:00	16625.0	16625.0	0.0	16.0
2015-09-22 03:00:00	264569.0	537668.0	273099.0	16.0
2015-09-22 06:00:00	20750.0	20775.0	25.0	22.0
2015-09-22 09:00:00	25950.0	25950.0	0.0	32.0
2015-09-22 12:00:00	9525.0	9525.0	0.0	9.0
2015-09-22 15:00:00	11475.0	11475.0	0.0	18.0
2015-09-22 18:00:00	18425.0	18425.0	0.0	19.0
2015-09-22 21:00:00	20100.0	20100.0	0.0	16.0
2015-09-23 00:00:00	8150.0	8150.0	0.0	11.0
2015-09-23 03:00:00	254418.0	502516.0	248098.0	9.0
2015-09-23 06:00:00	17873.0	33560.0	15687.0	17.0
2015-09-23 09:00:00	15850.0	15850.0	0.0	15.0
2015-09-23 12:00:00	12975.0	12975.0	0.0	25.0
2015-09-23 15:00:00	9250.0	9250.0	0.0	13.0
2015-09-23 18:00:00	14525.0	14525.0	0.0	14.0
2015-09-23 21:00:00	6725.0	6725.0	0.0	13.0
2015-09-24 00:00:00	31750.0	31750.0	0.0	24.0
2015-09-24 03:00:00	276118.0	542887.0	266769.0	21.0
2015-09-24 06:00:00	16425.0	16425.0	0.0	26.0
2015-09-24 09:00:00	15675.0	15675.0	0.0	13.0
2015-09-24 12:00:00	14950.0	14950.0	0.0	19.0
2015-09-24 15:00:00	13900.0	13900.0	0.0	22.0
2015-09-24 18:00:00	21225.0	21225.0	0.0	32.0
2015-09-24 21:00:00	3275.0	3275.0	0.0	9.0
2015-09-25 00:00:00	21175.0	21175.0	0.0	30.0
2015-09-25 03:00:00	257691.0	517563.0	259872.0	13.0
2015-09-25 06:00:00	3250.0	3250.0	0.0	5.0
2015-09-25 09:00:00	10725.0	10725.0	0.0	12.0
2015-09-25 12:00:00	7650.0	7650.0	0.0	10.0
2015-09-25 15:00:00	4450.0	4450.0	0.0	7.0
2015-09-25 18:00:00	17925.0	17925.0	0.0	15.0
2015-09-25 21:00:00	29700.0	29700.0	0.0	33.0
2015-09-26 00:00:00	5975.0	5975.0	0.0	8.0
2015-09-26 03:00:00	259871.0	518367.0	258496.0	18.0
2015-09-26 06:00:00	8350.0	8350.0	0.0	11.0
2015-09-26 09:00:00	7100.0	7100.0	0.0	9.0
2015-09-26 12:00:00	13875.0	13875.0	0.0	20.0
2015-09-26 15:00:00	800.0	800.0	0.0	3.0
